Datetime,MEDIAN Babs(1/Mm),MEAN Babs(1/Mm)
2021-12-14 16:28:26+0200,905.789236543923,909.515629588204
2021-12-14 16:28:31+0200,909.185413679732,911.594227497205
2021-12-14 16:28:36+0200,933.734197932849,910.76606832787
2021-12-14 16:28:41+0200,915.538159355156,905.984404538113
2021-12-14 16:28:46+0200,920.851107467317,901.718227331375
2021-12-14 16:28:51+0200,917.556053819509,901.416253282177
2021-12-14 16:28:56+0200,883.402989672727,903.083281790285
2021-12-14 16:29:01+0200,900.58505113002,902.869341257423
2021-12-14 16:29:06+0200,930.502353826087,901.661512771398
2021-12-14 16:29:11+0200,927.894378436182,900.162602867927
2021-12-14 16:29:16+0200,867.273965221186,900.379223950909
2021-12-14 16:29:21+0200,884.88605864759,902.36765982382
2021-12-14 16:29:26+0200,897.481571582924,900.85846516662
2021-12-14 16:29:31+0200,941.186355314546,899.400418149827
2021-12-14 16:29:36+0200,859.548366642415,901.249234591696
2021-12-14 16:29:41+0200,887.442851649192,908.547711216278
2021-12-14 16:29:46+0200,890.360655087733,918.73300727028
2021-12-14 16:29:51+0200,943.378462669785,923.680594221743
2021-12-14 16:29:56+0200,947.316500927278,921.556065731853
2021-12-14 16:30:01+0200,959.473010339814,914.785640364545
2021-12-14 16:30:06+0200,896.077368479825,906.70976849366
2021-12-14 16:30:11+0200,927.552326600908,902.672266611035
2021-12-14 16:30:16+0200,879.671220443403,905.239625350435
2021-12-14 16:30:21+0200,910.034729236211,913.808200902749
2021-12-14 16:30:26+0200,902.119457584388,925.09289602944
2021-12-14 16:30:31+0200,947.869620289996,935.940595337139
2021-12-14 16:30:36+0200,954.00250173613,941.857475349026
2021-12-14 16:30:41+0200,971.24852336607,943.425931915662
2021-12-14 16:30:46+0200,979.810660826156,942.567312346398
2021-12-14 16:30:51+0200,951.23709620991,937.975308630979
2021-12-14 16:30:56+0200,959.993851112236,932.503498696866
2021-12-14 16:31:01+0200,955.395408719908,926.120099958621
2021-12-14 16:31:06+0200,920.615823932269,920.86235687076
2021-12-14 16:31:11+0200,907.03943890716,918.810555277655
2021-12-14 16:31:16+0200,891.57371018592,921.029950237972
2021-12-14 16:31:21+0200,897.389572407115,926.505410923253
2021-12-14 16:31:26+0200,918.260090800917,932.587381535749
